timestamp,temp,ac,lights
1301,23.27,On,On
1302,23.27,On,On
1303,23.28,On,On
1304,23.29,On,On
1305,23.28,On,On
1306,23.29,On,On
1307,23.29,On,On
1308,23.3,On,On
1309,23.35,On,On
1310,23.35,On,On
1311,23.31,On,On
1312,23.32,On,On
1313,23.33,On,On
1314,23.31,On,On
1315,23.32,On,On
1316,23.31,On,On
1317,23.29,On,On
1318,23.29,On,On
1319,23.3,On,On
1320,23.3,On,On
1321,23.31,On,On
1322,23.27,On,On
1323,23.23,On,On
1324,23.21,On,On
1325,23.22,On,On
1326,23.22,On,On
1327,23.2,On,On
1328,23.23,On,On
1329,23.26,On,On
1330,23.23,On,On
1331,23.23,On,On
1332,23.24,On,On
